Year,Name,Driver1,Driver2,Car Speed,Number of Staff,Facilities,Starting Balance,Starting Sponsorship
default,Williams,Jacques Villeneuve,Heinz-Harald Frentzen,80,250,75,4700000,42000000
default,Ferrari,Michael Schumacher,Eddie Irvine,84,230,80,5600000,44000000
default,Benetton,Giancarlo Fisichella,Alexander Wurz,74,190,70,3800000,0
default,McLaren,David Coulthard,Mika Hakkinen,90,240,85,5300000,0
default,Jordan,Damon Hill,Ralf Schumacher,70,138,60,2877500,33000000
default,Prost,Olivier Panis,Jarno Trulli,60,110,55,3200000,0
default,Sauber,Jean Alesi,Johnny Herbert,70,180,75,2600000,0
default,Arrows,Pedro Diniz,Mika Salo,45,97,40,1600000,0
default,Stewart,Rubens Barrichello,Jan Magnussen,50,130,60,1700000,20000000
default,Tyrrell,Ricardo Rosset,Tora Takagi,40,105,35,660000,8000000
default,Minardi,Shinji Nakano,Esteban Tuero,35,90,30,890000,13000000
